Number ,Isolate name,Sequence name,Alignment  name,Unique name,Tree name,Species,Sequenced by,Country,Country code,Location,Source group,Source three letter,Source,Isolate from ,Date,Year ,ST,CC,sp,mec,Class,Order,Family,Subfamily,Genus,Species,Reference,Source,Number in collection,ERR number,ERR.number.tips,ERR.number.tips.filtered
150,NBRC102143 (17573(w63),8205_1#34,8205_1#34_LGA251,8205134,8205134_Cow_574_130,Staphylococcus aureus,Holmes,Sweden,SWE,,Cows,BOV,Cow,Mastitis,1950's ?,1950's?,574,130,,-,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Tokyo Metropolitan Inst. Public Health (S. Yamada, 17573(w63))  (http://www.nbrc.nite.go.jp/NBRC2/NBRCCatalogueDetailServlet?ID=NBRC&CAT=00102143)",NITE Biological Resource centre Japan,,ERR175881,ERR175881,ERR175881
151,ASASM225,7229_6#95,7229_6#95_LGA251,7229695,7229695_Human_582_15,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2008,2008,582,15,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR109662,ERR109662,ERR109662
152,24068,7893_8#85,7893_8#85_LGA251,7893885,7893885_Cat_599_599,Staphylococcus aureus,Holmes,Germany,DEU,Hessia,Carnivore,CPA,Cat,trachea,4/9/10,2010,599,599,,mecC,Mammalia,Carnivora,Felidae,Felinae,Felis,catus,"Walther B, et al. MRSA variant in companion animals. Emerging infectious diseases 18, 2017-2020 (2012).",Birgit Walther,6,ERR156415,ERR156415,ERR156415
153,ASASM454,8113_4#83,8113_4#83_LGA251,8113483,8113483_Human_609_8,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2012,2012,609,8,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,1,ERR172091,ERR172091,ERR172091
154,ASASM403,8113_4#33,8113_4#33_LGA251,8113433,8113433_Human_630_8,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2011,2011,630,8,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR172041,ERR172041,ERR172041
155,M148 (M192),973N0042,973N0042_LGA251,973N0042,973N0042_Porpoise_630_8,Staphylococcus aureus,Fitzgerald,Netherlands,NLD,,Marine,MAR,Porpoise,Lesion,2006,2006,630,8,,,Mammalia,Cetacea,Phocoenidae,,Phocoena,phocoena,"van Elk CE, Boelens HA, van Belkum A, Foster G, Kuiken T. Indications for both host-specific and introduced genotypes of Staphylococcus aureus in marine mammals. Veterinary microbiology 156, 343-346 (2012).",Geoff Foster,1,PRJEB20741,973N0042,973N0042
156,H111020260,7068_5#50,7068_5#50_LGA251,7068550,7068550_Human_672_361,Staphylococcus aureus,Holmes,England / Wales,GBR,,Human,HUM,Human,Blood,2/28/11,2011,672,361,,-,Mammalia,Primates,Hominidae,,Homo,sapiens,This study - PHE Staphylococcal reference lab ,HPA,1,ERR084637,ERR084637,ERR084637
157,22-B129-04-08,8014_4#64,8014_4#64_LGA251,8014464,8014464_Duck_692_385,Staphylococcus aureus,Holmes,England,GBR,Cornwall,Birds,AVI,Duck,Heart valve lesion lung/heart blood,4/23/08,2008,692,385,,-,Aves,Anseriformes,Anatidae,,,,"Simpson VR, et al. Mortality in red squirrels (Sciurus vulgaris) associated with exudative dermatitis. The Veterinary record 167, 59-63 (2010).",,,ERR163418,ERR163418,ERR163418
158,9/1/1038,612_63,612_63_LGA251,61263,61263_Chaffinch_692_385,Staphylococcus aureus,Fitzgerald,UK,GBR,,Birds,AVI,Chaffinch,Disseminated bumblefoot infection,10/21/09,2009,692,385,,,Aves,Passeriformes,Fringillidae,Fringillinae,Fringilla,coelebs,This study (ZSL),Zoological Society London,6,PRJEB20741,612_63,612_63
159,AV86 (ch17),612_69,612_69_LGA251,61269,61269_Chicken_692_385,Staphylococcus aureus,Fitzgerald,UK,GBR,N. Ireland,Birds,AVI,Chicken,,1996_1997,1996-1997,692,385,,,Aves,Galliformes,Phasianidae,Phasianinae,Gallus,gallus,"Murray S, et al. Recombination-Mediated Host Adaptation by Avian Staphylococcus aureus. Genome biology and evolution 9, 830-842 (2017).",,,ERR1801380,ERR1801380,ERR1801380
160,B600539 (ph2),612_83,612_83_LGA251,61283,61283_Pheasant_692_385,Staphylococcus aureus,Fitzgerald,UK,GBR,Scotland,Birds,AVI,Pheasant,,Unknown,Unknown,692,385,,,Aves,Galliformes,Phasianidae,Phasianinae,,,"Murray S, et al. Recombination-Mediated Host Adaptation by Avian Staphylococcus aureus. Genome biology and evolution 9, 830-842 (2017).",,,ERR1801392,ERR1801392,ERR1801392
161,B305236/1 (pa3),612_84,612_84_LGA251,61284,61284_Partridge_692_385,Staphylococcus aureus,Fitzgerald,UK,GBR,Scotland,Birds,AVI,Partridge,,2006,2006,692,385,,,Aves,Galliformes,Phasianidae,Perdicinae,,,"Murray S, et al. Recombination-Mediated Host Adaptation by Avian Staphylococcus aureus. Genome biology and evolution 9, 830-842 (2017).",,,ERR1801393,ERR1801393,ERR1801393
162,B306385,973N0056,973N0056_LGA251,973N0056,973N0056_Grouse_692_385,Staphylococcus aureus,Fitzgerald,UK,GBR,,Birds,AVI,Grouse,,Unknown,Unknown,692,385,,,Aves,Galliformes,Phasianidae,Tetraoninae,,,"Murray S, et al. Recombination-Mediated Host Adaptation by Avian Staphylococcus aureus. Genome biology and evolution 9, 830-842 (2017).",,,ERR1801400,ERR1801400,ERR1801400
163,MSA1547,612_39,612_39_LGA251,61239,61239_Cow_699_72,Staphylococcus aureus,Fitzgerald,Ireland,IRL,,Cows,BOV,Cow,Mastitis,pre 2009,pre 2009,699,72,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Burke FM, McCormack N, Rindi S, Speziale P, Foster TJ. Fibronectin-binding protein B variation in Staphylococcus aureus. BMC microbiology 10, 160 (2010).",,1,PRJEB20741,612_39,612_39
164,SI-627,8014_4#44,8014_4#44_LGA251,8014444,8014444_Sheep_700_130,Staphylococcus aureus,Holmes,Italy,ITA,Sicily,Cows,OVI,Sheep,Mastitis,1998,1998,700,130,,-,Mammalia,Artiodactyla,Bovidae,Caprinae,Ovis,aries,"Vitale M, et al. Antibiotic Resistance Profiling, Analysis of Virulence Aspects and Molecular Genotyping of Staphylococcus aureus Isolated in Sicily, Italy. Foodborne pathogens and disease,  (2017).",,10,ERR163398,ERR163398,ERR163398
165,DS102,973N0080,973N0080_LGA251,973N0080,973N0080_Sheep_151_151,Staphylococcus aureus,Fitzgerald,Sweden,SWE,,Cows,OVI,Sheep,,Unknown,Unknown,705,151,,,Mammalia,Artiodactyla,Bovidae,Caprinae,Ovis,aries,"Smyth DS, et al, Molecular genetic typing reveals further insights into the 
diversity of animal-associated Staphylococcus aureus. J Med Microbiol. 2009
Oct;58(Pt 10):1343-53.",D.Smyth,1,PRJEB20741,973N0080,973N0080
166,DS95,973N0022,973N0022_LGA251,973N0022,973N0022_Cow_706_9,Staphylococcus aureus,Fitzgerald,Denmark,DNK,,Cows,BOV,Cow,Mastitis,2005,2005,706,9,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Mork T, Tollersrud T, Kvitle B, Jorgensen HJ, Waage S. Comparison of Staphylococcus aureus genotypes recovered from cases of bovine, ovine, and caprine mastitis. Journal of clinical microbiology 43, 3979-3984 (2005).",D.Smyth,1,PRJEB20741,973N0022,973N0022
167,Smith,9472_2#90,9472_2#90_LGA251,9472290,9472290_NA_707_707,Staphylococcus aureus,Holmes,USA,USA,New York ?,Human,HUM,Human,Osteomyelitis,1930,1930,707,707,,-,Mammalia,Primates,Hominidae,,Homo,sapiens,"Smith JM, Dubos RJ. The behavior of virulent and avirulent staphylococci in the tissues of normal mice. J Exp Med 103, 87-108 (1956).",,,ERR294363,ERR294363,ERR294363
168,DS42,973N0019,973N0019_LGA251,973N0019,973N0019_Cow_709_97,Staphylococcus aureus,Fitzgerald,Argentina,ARG,,Cows,BOV,Cow,Mastitis,2009,2009,709,97,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Smyth DS, et al. Molecular genetic typing reveals further insights into the diversity of animal-associated Staphylococcus aureus. Journal of medical microbiology 58, 1343-1353 (2009).",Cyril Smyth,1,PRJEB20741,973N0019,973N0019
169,LMA1170,973N0054,973N0054_LGA251,973N0054,973N0054_Goat_711_133,Staphylococcus aureus,Fitzgerald,France,FRA,,Cows,CAP,Goat,Mastitis,1987,1987,711,133,,,Mammalia,Artiodactyla,Bovidae,Caprinae,Capra,aegagrus,"Ben Zakour NL, et al. Genome-wide analysis of ruminant Staphylococcus aureus reveals diversification of the core genome. Journal of bacteriology 190, 6302-6317 (2008).",Yves Le Loir,1,PRJEB20741,973N0054,973N0054
170,LMA1171,973N0048,973N0048_LGA251,973N0048,973N0048_Goat_712_133,Staphylococcus aureus,Fitzgerald,France,FRA,,Cows,CAP,Goat,Mastitis,1996,1996,712,133,,,Mammalia,Artiodactyla,Bovidae,Caprinae,Capra,aegagrus,"Ben Zakour NL, et al. Genome-wide analysis of ruminant Staphylococcus aureus reveals diversification of the core genome. Journal of bacteriology 190, 6302-6317 (2008).",Yves Le Loir,1,PRJEB20741,973N0048,973N0048
171,11.3824.N,8014_4#95,8014_4#95_LGA251,8014495,8014495_Human_718_718,Staphylococcus aureus,Holmes,Scotland,GBR,GG&C,Human,HUM,Human,Blood,7/14/11,2011,718,718,t7028,-,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,HPA,,ERR163449,ERR163449,ERR163449
172,VB961917,9716_4#93,9716_4#93_LGA251,9716493,9716493_Cat_737_22,Staphylococcus aureus,Holmes,Germany,DEU,,Carnivore,CPA,Cat,,,,737,22,,-,Mammalia,Carnivora,Felidae,Felinae,Felis,catus,Birgit Walther,Birgit Walther,,ERR310930,ERR310930,ERR310930
173,VET-BZ30,612_43,612_43_LGA251,61243,61243_Sheep_750_133,Staphylococcus aureus,Fitzgerald,Brazil,BRA,,Cows,OVI,Sheep,Mastitis,1996-1997,1996-1997,750,133,,,Mammalia,Artiodactyla,Bovidae,Caprinae,Ovis,aries,"Aires-de-Sousa M, Parente CE, Vieira-da-Motta O, Bonna IC, Silva DA, de Lencastre H. Characterization of Staphylococcus aureus isolates from buffalo, bovine, ovine, and caprine milk samples collected in Rio de Janeiro State, Brazil. Applied and environmental microbiology 73, 3845-3849 (2007).",Aires-de-Sousa et al. 2007 http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2012000800012,2,PRJEB20741,612_43,612_43
174,ASASM192,7229_6#65,7229_6#65_LGA251,7229665,7229665_Human_789_7,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2008,2008,789,7,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,2,ERR109632,ERR109632,ERR109632
175,3507,9061_8#77,9061_8#77_LGA251,9061877,9061877_Horse_816_522,Staphylococcus aureus,Holmes,England,GBR,,Horses,EQU,Horse,chest wound,1/5/07,2007,816,522,,,Mammalia,Perissodactyla,Equidae,,Equus,ferus,This study ,AHT,1,ERR237620,ERR237620,ERR237620
176,HT20060687,9472_2#66,9472_2#66_LGA251,9472266,9472266_Human_890_890,Staphylococcus aureus,Holmes,France,FRA,,Human,HUM,Human,,7/20/06,2006,890,890,,-,Mammalia,Primates,Hominidae,,Homo,sapiens,Frederic Laurent,Frederic Laurent,,ERR294339,ERR294339,ERR294339
177,WA MRSA-52 / Taiwan A,612_23,612_23_LGA251,61223,61223_Human_952_59,Staphylococcus aureus,Fitzgerald,Australia,AUS,,Human,HUM,Human,Nose,5/1/07,2007,952,59,t1950,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Ward MJ, et al, Identification of source and sink populations for the
emergence and global spread of the East-Asia clone of community-associated MRSA. Genome Biol. 2016 Jul 26;17(1):160. ",,1,ERS1043326,ERS1043326,ERS1043326
178,W321,973N0063,973N0063_LGA251,973N0063,973N0063_Monkey_1006_601,Staphylococcus aureus,Fitzgerald,UK,GBR,,Monkey,MKY,Monkey,,Unknown,Unknown,1006,601,,,Mammalia,Primates,,,,,This study,,1,PRJEB20741,973N0063,973N0063
179,06-02234,8014_4#18,8014_4#18_LGA251,8014418,8014418_Human_446_446,Staphylococcus aureus,Holmes,Germany,DEU,Bonn,Human,HUM,Human,unknown,10/16/06,2006,446,446,t1938,-,Mammalia,Primates,Hominidae,,Homo,sapiens,Wolfgang Witte,Wolfgang Witte,2,ERR163372,ERR163372,ERR163372
180,CH48,612_78,612_78_LGA251,61278,61278_Chicken_1027_1027,Staphylococcus aureus,Fitzgerald,Japan,JPN,,Birds,AVI,Chicken,Commensal,1998,1998,1027,1027,,,Aves,Galliformes,Phasianidae,Phasianinae,Gallus,gallus,"Lowder BV, et al. Recent human-to-poultry host jump, adaptation, and pandemic spread of Staphylococcus aureus. Proceedings of the National Academy of Sciences of the United States of America 106, 19545-19550 (2009).",Fitzgerald lab,2,PRJEB20741,612_78,612_78
181,ASASM92,7229_4#71,7229_4#71_LGA251,7229471,7229471_Human_1035_1035,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2007,2007,1035,1035,,,Mammalia,Primates,Hominidae,,Homo,sapiens,This study ,,,ERR109542,ERR109542,ERR109542
182,GKP136-67,9119_2#38,9119_2#38_LGA251,9119238,9119238_Cow_1073_1073,Staphylococcus aureus,Holmes,UK,GBR,,Cows,BOV,Cow,,12-Oct,2012,1073,1073,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Holmes Group,,ERR246622,ERR246622,ERR246622
183,STF45-1,7068_5#31,7068_5#31_LGA251,7068531,7068531_Cow_1074_151,Staphylococcus aureus,Holmes,England,GBR,Somerset,Cows,BOV,Cow,,7/1/06,2006,1074,151,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,DEFRA,DEFRA,5,ERR084618,ERR084618,ERR084618
184,C02 737,7068_5#27,7068_5#27_LGA251,7068527,7068527_Cow_1076_151,Staphylococcus aureus,Holmes,England,GBR,Somerset,Cows,BOV,Cow,,7/1/06,2006,1076,151,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,DEFRA,DEFRA,1,ERR084614,ERR084614,ERR084614
185,m-MR-6AI,8205_1#35,8205_1#35_LGA251,8205135,8205135_Cow_1126_71,Staphylococcus aureus,Holmes,UK,GBR,,Cows,BOV,Cow,Milk,2012,2012,1126,71,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Holmes Group,3,ERR175882,ERR175882,ERR175882
186,ASASM337,7474_2#63,7474_2#63_LGA251,7474263,7474263_Human_1224_59,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2010,2010,1224,59,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR109664,ERR109664,ERR109664
187,11.4067.E,9061_8#31,9061_8#31_LGA251,9061831,9061831_Human_1232_398,Staphylococcus aureus,Holmes,Scotland,GBR,,Human,HUM,Human,Buttock wound,7/31/11,2011,1232,398,,,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,,10,ERR237574,ERR237574,ERR237574
188,08.6601.A,7092_7#41,7092_7#41_LGA251,7092741,7092741_Human_1245_130,Staphylococcus aureus,Holmes,Scotland,GBR,Lothian,Human,HUM,Human,Nose,9/17/08,2008,1245,130,t1535,mecC,Mammalia,Primates,Hominidae,,Homo,sapiens,"Garcia-Alvarez L, et al. Meticillin-resistant Staphylococcus aureus with a novel mecA homologue in human and bovine populations in the UK and Denmark: a descriptive study. The Lancet infectious diseases 11, 595-603 (2011).",HPA Scotland,28,ERR084731,ERR084731,ERR084731
189,GKP138-41,9119_2#71,9119_2#71_LGA251,9119271,9119271_Cow_1247_133,Staphylococcus aureus,Holmes,UK,GBR,,Cows,BOV,Cow,,12-Oct,2012,1247,133,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Holmes Group,,ERR246655,ERR246655,ERR246655
190,10009,612_72,612_72_LGA251,61272,61272_Chicken_1342_5,Staphylococcus aureus,Fitzgerald,USA,USA,Iowa,Birds,AVI,Chicken,Sternal bursa isolate,1999,1999,1342,5,,,Aves,Galliformes,Phasianidae,Phasianinae,Gallus,gallus,"Lowder BV, et al. Recent human-to-poultry host jump, adaptation, and pandemic spread of Staphylococcus aureus. Proceedings of the National Academy of Sciences of the United States of America 106, 19545-19550 (2009).",M. Maier,1,ERR1801383,ERR1801383,ERR1801383
191,CH91,612_82,612_82_LGA251,61282,61282_Chicken_1344_385,Staphylococcus aureus,Fitzgerald,Japan,JPN,,Birds,AVI,Chicken,Edematous & necrotic dermatitis,1967,1967,1344,385,,,Aves,Galliformes,Phasianidae,Phasianinae,Gallus,gallus,"Lowder BV, et al. Recent human-to-poultry host jump, adaptation, and pandemic spread of Staphylococcus aureus. Proceedings of the National Academy of Sciences of the United States of America 106, 19545-19550 (2009).",Fitzgerald lab,1,ERR1801391,ERR1801391,ERR1801391
192,6P061,612_75,612_75_LGA251,61275,61275_Chicken_1345_1345,Staphylococcus aureus,Fitzgerald,Australia,AUS,,Birds,AVI,Chicken,Commensal,1995-1997,1995-1997,1345,1345,,,Aves,Galliformes,Phasianidae,Phasianinae,Gallus,gallus,"Lowder BV, et al. Recent human-to-poultry host jump, adaptation, and pandemic spread of Staphylococcus aureus. Proceedings of the National Academy of Sciences of the United States of America 106, 19545-19550 (2009).",Fitzgerald lab,2,ERR1801386,ERR1801386,ERR1801386
193,B95/97/1,612_89,612_89_LGA251,61289,61289_Partridge_1346_5,Staphylococcus aureus,Fitzgerald,UK,GBR,Scotland,Birds,AVI,Partridge,Clinical Isolate,1997,1997,1346,5,,,Aves,Galliformes,Phasianidae,Perdicinae,,,"Lowder BV, et al. Recent human-to-poultry host jump, adaptation, and pandemic spread of Staphylococcus aureus. Proceedings of the National Academy of Sciences of the United States of America 106, 19545-19550 (2009).",Fitzgerald lab,1,ERR1801397,ERR1801397,ERR1801397
194,B600552/04/1,612_90,612_90_LGA251,61290,61290_Pheasant_1347_385,Staphylococcus aureus,Fitzgerald,Scotland,GBR,,Birds,AVI,Pheasant,Tenosynovitis,Unknown,Unknown,1347,385,,,Aves,Galliformes,Phasianidae,Phasianinae,,,"Lowder BV, et al. Recent human-to-poultry host jump, adaptation, and pandemic spread of Staphylococcus aureus. Proceedings of the National Academy of Sciences of the United States of America 106, 19545-19550 (2009).",Geoff Foster,1,ERR1801398,ERR1801398,ERR1801398
195,33/10,612_64,612_64_LGA251,61264,61264_Corncrake_1452_133,Staphylococcus aureus,Fitzgerald,UK,GBR,,Birds,AVI,Corncrake,Liver and heart blood,2010,2010,1452,133,,,Aves,Gruiformes,Rallidae,,Crex,crex,This study (ZSL),Zoological Society London,1,PRJEB20741,612_64,612_64
196,MVF-7 O+,0864N0094,0864N0094_LGA251,0864N0094,0864N0094_Sheep_1464_1464,Staphylococcus aureus subsp anaerobius,Fitzgerald,Spain,ESP,,Cows,BOV,Sheep,Clinical Isolate,1981-1982,1981-1982,1464,1464,,,Mammalia,Artiodactyla,Bovidae,Caprinae,Ovis,aries,Jose Penades,Jose,6,PRJEB20741,0864N0094,0864N0094
197,C04 288,7092_7#37,7092_7#37_LGA251,7092737,7092737_Cow_1526_130,Staphylococcus aureus,Holmes,England,GBR,Thirsk,Cows,BOV,Cow,Milk,7/1/06,2006,1526,130,t6293,mecC,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Garcia-Alvarez L, et al. Meticillin-resistant Staphylococcus aureus with a novel mecA homologue in human and bovine populations in the UK and Denmark: a descriptive study. The Lancet infectious diseases 11, 595-603 (2011).",DEFRA,4,ERR084727,ERR084727,ERR084727
198,SI-702,8014_4#50,8014_4#50_LGA251,8014450,8014450_Cow_1627_130,Staphylococcus aureus,Holmes,Italy,ITA,Sicily,Cows,BOV,Cow,Milk,2008,2008,1627,130,,-,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Vitale M, et al. Antibiotic Resistance Profiling, Analysis of Virulence Aspects and Molecular Genotyping of Staphylococcus aureus Isolated in Sicily, Italy. Foodborne pathogens and disease,  (2017).",Isituto Zooprofilattico Sperimentale della Sicilia,1,ERR163404,ERR163404,ERR163404
199,KM1549-2-06,973N0015,973N0015_LGA251,973N0015,973N0015_Horse_1660_1660,Staphylococcus aureus,Fitzgerald,Switzerland,CHE,,Horses,EQU,Horse,Clinical Isolate,2006,2006,1660,1660,,,Mammalia,Perissodactyla,Equidae,,Equus,ferus,"Sieber S, Gerber V, Jandova V, Rossano A, Evison JM, Perreten V. Evolution of multidrug-resistant Staphylococcus aureus infections in horses and colonized personnel in an equine clinic between 2005 and 2010. Microb Drug Resist 17, 471-478 (2011).",Sieber 2011 http://www.ncbi.nlm.nih.gov/pubmed/21875361,1,PRJEB20741,973N0015,973N0015
200,09.6440.M,9061_8#15,9061_8#15_LGA251,9061815,9061815_Human_1709_398,Staphylococcus aureus,Holmes,Scotland,GBR,,Human,HUM,Human,Nasal swab,8/19/09,2009,1709,398,,,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,HPA Scotland,,ERR237558,ERR237558,ERR237558
201,L3,1167N0020,1167N0020_LGA251,1167N0020,1167N0020_Bat_1725_1725,Staphylococcus aureus,Fitzgerald,Nigeria,NGA,Ife-Ife,Bat,BAT,Bat,Faeces,2008,2008,1725,1725,,,Mammalia,Chiroptera,Pteropodidae,,Eidolon,helvum,"Akobi B, Aboderin O, Sasaki T, Shittu A. Characterization of Staphylococcus aureus isolates from faecal samples of the Straw-Coloured Fruit Bat (Eidolon helvum) in Obafemi Awolowo University (OAU), Nigeria. BMC microbiology 12, 279 (2012).",A. Shittu (Akobi et al. 2012 http://www.biomedcentral.com/1471-2180/12/279),1,PRJEB20741,1167N0020,1167N0020
202,R5,1167N0022,1167N0022_LGA251,1167N0022,1167N0022_Bat_1727_1727,Staphylococcus aureus,Fitzgerald,Nigeria,NGA,Ife-Ife,Bat,BAT,Bat,Faeces,2008,2008,1727,1727,,,Mammalia,Chiroptera,Pteropodidae,,Eidolon,helvum,"Akobi B, Aboderin O, Sasaki T, Shittu A. Characterization of Staphylococcus aureus isolates from faecal samples of the Straw-Coloured Fruit Bat (Eidolon helvum) in Obafemi Awolowo University (OAU), Nigeria. BMC microbiology 12, 279 (2012).",A. Shittu (Akobi et al. 2012 http://www.biomedcentral.com/1471-2180/12/279),1,PRJEB20741,1167N0022,1167N0022
203,08-884,0864N0016,0864N0016_LGA251,0864N0016,0864N0016_Macaque_1760_1760,Staphylococcus aureus,Fitzgerald,The Netherlands,NLD,NLD place of isolation maybe not infection,Monkey,MKY,Macaque,Commensal,2008,2008,1760,1760,,,Mammalia,Primates,Cercopithecidae,Cercopithecinae,Macaca,mulatta,"van den Berg S, et al. Rhesus macaques (Macaca mulatta) are natural hosts of specific Staphylococcus aureus lineages. PloS one 6, e26170 (2011).",van den Berg http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0026170,1,PRJEB20741,0864N0016,0864N0016
204,08-915,0864N0038,0864N0038_LGA251,0864N0038,0864N0038_Human_1761_601,Staphylococcus aureus,Fitzgerald,The Netherlands,NLD,NLD place of isolation maybe not infection,Human,HUM,Human,Commensal,2008,2008,1761,601,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"van den Berg S, et al. Rhesus macaques (Macaca mulatta) are natural hosts of specific Staphylococcus aureus lineages. PloS one 6, e26170 (2011).",van den Berg http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0026170,1,PRJEB20741,0864N0038,0864N0038
205,09.4633.Ca,7092_7#44,7092_7#44_LGA251,7092744,7092744_Human_1764_130,Staphylococcus aureus,Holmes,Scotland,GBR,Highland,Human,HUM,Human,Nasal SWAB,5/20/09,2009,1764,130,t7485,mecC,Mammalia,Primates,Hominidae,,Homo,sapiens,"Garcia-Alvarez L, et al. Meticillin-resistant Staphylococcus aureus with a novel mecA homologue in human and bovine populations in the UK and Denmark: a descriptive study. The Lancet infectious diseases 11, 595-603 (2011).",HPA Scotland,6,ERR084734,ERR084734,ERR084734
206,M52/04/1,973N0043,973N0043_LGA251,973N0043,973N0043_Porpoise_1766_1762,Staphylococcus aureus,Fitzgerald,UK,GBR,,Marine,MAR,Porpoise,Lesion,2004,2004,1766,1762,,,Mammalia,Cetacea,Phocoenidae,,Phocoena,phocoena,"van Elk CE, Boelens HA, van Belkum A, Foster G, Kuiken T. Indications for both host-specific and introduced genotypes of Staphylococcus aureus in marine mammals. Veterinary microbiology 156, 343-346 (2012).",van Elk et al. 2012 http://www.sciencedirect.com/science/article/pii/S0378113511005918,1,PRJEB20741,973N0043,973N0043
207,08-876,0864N0017,0864N0017_LGA251,0864N0017,0864N0017_Macaque_1768_1768,Staphylococcus aureus,Fitzgerald,The Netherlands,NLD,NLD place of isolation maybe not infection,Monkey,MKY,Macaque,Commensal,2008,2008,1768,1768,,,Mammalia,Primates,Cercopithecidae,Cercopithecinae,Macaca,mulatta,"van den Berg S, et al. Rhesus macaques (Macaca mulatta) are natural hosts of specific Staphylococcus aureus lineages. PloS one 6, e26170 (2011).",van den Berg http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0026170,1,PRJEB20741,0864N0017,0864N0017
208,423/10,973N0087,973N0087_LGA251,973N0087,973N0087_Cloudrat_1776_6,Staphylococcus aureus,Fitzgerald,UK,GBR,,Rodent,OEZ,Cloudrat,,Unknown,Unknown,1776,6,,,Mammalia,Rodentia,Muridae,Murinae,,,This study,,1,PRJEB20741,973N0087,973N0087
209,ASARM212,7083_1#39,7083_1#39_LGA251,7083139,7083139_Human_1784_22,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2010,2010,1784,22,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR084676,ERR084676,ERR084676
210,GKP138-67,9119_2#80,9119_2#80_LGA251,9119280,9119280_Cow_1859_97,Staphylococcus aureus,Holmes,UK,GBR,,Cows,BOV,Cow,,12-Oct,2012,1859,97,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Sara H_ggman,,ERR246664,ERR246664,ERR246664
211,02.5099.D,7092_7#40,7092_7#40_LGA251,7092740,7092740_Human_1944_130,Staphylococcus aureus,Holmes,Scotland,GBR,Tayside,Human,HUM,Human,Finger,6/21/02,2002,1944,130,t843,mecC,Mammalia,Primates,Hominidae,,Homo,sapiens,"Garcia-Alvarez L, et al. Meticillin-resistant Staphylococcus aureus with a novel mecA homologue in human and bovine populations in the UK and Denmark: a descriptive study. The Lancet infectious diseases 11, 595-603 (2011).",HPA Scotland,7,ERR084730,ERR084730,ERR084730
